2018/01/17 15:36:27 [error] 14437#14437: *23556 upstream timed out (110: Connection timed out) while reading response header from upstream, client: 10.101.6.161, server: , request: "POST /letou/verify_token HTTP/1.0", upstream: "http://172.19.3.96:8101/letou/verify_token", host: "172.20.5.27:8101"
2018/01/17 15:36:47 [error] 14437#14437: *23558 upstream timed out (110: Connection timed out) while reading response header from upstream, client: 10.101.6.161, server: , request: "POST /letou/verify_token HTTP/1.0", upstream: "http://172.19.3.96:8101/letou/verify_token", host: "172.20.5.27:8101"
2018/01/17 15:37:07 [error] 14437#14437: *23560 upstream timed out (110: Connection timed out) while reading response header from upstream, client: 10.101.6.161, server: , request: "POST /letou/verify_token HTTP/1.0", upstream: "http://172.19.3.96:8101/letou/verify_token", host: "172.20.5.27:8101"
2018/01/17 15:37:27 [error] 14437#14437: *23562 upstream timed out (110: Connection timed out) while reading response header from upstream, client: 10.101.6.161, server: , request: "POST /letou/verify_token HTTP/1.0", upstream: "http://172.19.3.96:8101/letou/verify_token", host: "172.20.5.27:8101"
2018/01/17 15:37:47 [error] 14437#14437: *23564 upstream timed out (110: Connection timed out) while reading response header from upstream, client: 10.101.6.161, server: , request: "POST /letou/verify_token HTTP/1.0", upstream: "http://172.19.3.96:8101/letou/verify_token", host: "172.20.5.27:8101"
2018/01/17 15:38:07 [error] 14437#14437: *23566 upstream timed out (110: Connection timed out) while reading response header from upstream, client: 10.101.6.161, server: , request: "POST /letou/verify_token HTTP/1.0", upstream: "http://172.19.3.96:8101/letou/verify_token", host: "172.20.5.27:8101"
2018/01/17 15:38:27 [error] 14437#14437: *23568 upstream timed out (110: Connection timed out) while reading response header from upstream, client: 10.101.6.161, server: , request: "POST /letou/verify_token HTTP/1.0", upstream: "http://172.19.3.96:8101/letou/verify_token", host: "172.20.5.27:8101"
2018/01/17 15:38:30 [error] 14437#14437: *23570 upstream timed out (110: Connection timed out) while reading response header from upstream, client: 10.101.6.161, server: , request: "POST /letou/verify_token HTTP/1.0", upstream: "http://172.19.3.96:8101/letou/verify_token", host: "172.20.5.27:8101"
2018/01/17 15:38:47 [error] 14437#14437: *23572 upstream timed out (110: Connection timed out) while reading response header from upstream, client: 10.101.6.161, server: , request: "POST /letou/verify_token HTTP/1.0", upstream: "http://172.19.3.96:8101/letou/verify_token", host: "172.20.5.27:8101"
2018/01/17 15:39:07 [error] 14437#14437: *23574 upstream timed out (110: Connection timed out) while reading response header from upstream, client: 10.101.6.161, server: , request: "POST /letou/verify_token HTTP/1.0", upstream: "http://172.19.3.96:8101/letou/verify_token", host: "172.20.5.27:8101"
